Date,Open,High,Low,Close,Adj Close,Volume
2012-08-24,13038.000000,13162.000000,13011.000000,13156.000000,13156.000000,106092
2012-08-26,null,null,null,null,null,null
2012-08-27,13159.000000,13186.000000,13101.000000,13107.000000,13107.000000,74989
2012-08-28,13104.000000,13135.000000,13063.000000,13086.000000,13086.000000,90855
2012-08-29,13084.000000,13131.000000,13065.000000,13084.000000,13084.000000,82619
2012-08-30,13082.000000,13088.000000,12966.000000,12982.000000,12982.000000,103447
2012-08-31,12984.000000,13144.000000,12971.000000,13079.000000,13079.000000,158861
2012-09-02,null,null,null,null,null,null
2012-09-04,13062.000000,13121.000000,12965.000000,13050.000000,13050.000000,134241
2012-09-05,13051.000000,13086.000000,12982.000000,13050.000000,13050.000000,104430
2012-09-06,13051.000000,13288.000000,13044.000000,13275.000000,13275.000000,139593
2012-09-07,13276.000000,13324.000000,13263.000000,13296.000000,13296.000000,101796
2012-09-09,null,null,null,null,null,null
2012-09-10,13285.000000,13318.000000,13231.000000,13237.000000,13237.000000,72331
2012-09-11,13232.000000,13349.000000,13195.000000,13293.000000,13293.000000,90819
2012-09-12,13294.000000,13376.000000,13284.000000,13361.000000,13361.000000,106387
2012-09-13,13352.000000,13575.000000,13324.000000,13520.000000,13520.000000,144285
2012-09-14,13513.000000,13651.000000,13510.000000,13592.000000,13592.000000,76027
2012-09-16,null,null,null,null,null,null
2012-09-17,13590.000000,13594.000000,13526.000000,13541.000000,13541.000000,37445
2012-09-18,13536.000000,13583.000000,13501.000000,13570.000000,13570.000000,32808
2012-09-19,13571.000000,13632.000000,13557.000000,13570.000000,13570.000000,27829
2012-09-20,13570.000000,13604.000000,13501.000000,13593.000000,13593.000000,15522
2012-09-21,13578.000000,13717.000000,13578.000000,13652.299805,13652.299805,93398
2012-09-23,null,null,null,null,null,null
2012-09-24,13490.000000,13530.000000,13438.000000,13489.000000,13489.000000,93917
2012-09-25,13491.000000,13548.000000,13386.000000,13405.000000,13405.000000,127444
2012-09-26,13405.000000,13426.000000,13332.000000,13345.000000,13345.000000,121899
2012-09-27,13347.000000,13453.000000,13343.000000,13414.000000,13414.000000,123345
2012-09-28,13412.000000,13433.000000,13293.000000,13355.000000,13355.000000,146311
2012-09-30,null,null,null,null,null,null
2012-10-01,13349.000000,13526.000000,13313.000000,13437.000000,13437.000000,147569
2012-10-02,13434.000000,13499.000000,13347.000000,13411.000000,13411.000000,135663
2012-10-03,13409.000000,13463.000000,13360.000000,13426.000000,13426.000000,119271
2012-10-04,13424.000000,13525.000000,13422.000000,13498.000000,13498.000000,112527
2012-10-05,13498.000000,13599.000000,13489.000000,13536.000000,13536.000000,110153
2012-10-07,null,null,null,null,null,null
2012-10-08,13550.000000,13550.000000,13475.000000,13501.000000,13501.000000,68415
2012-10-09,13502.000000,13545.000000,13403.000000,13412.000000,13412.000000,137525
2012-10-10,13420.000000,13428.000000,13260.000000,13268.000000,13268.000000,132756
2012-10-11,13266.000000,13361.000000,13227.000000,13265.000000,13265.000000,112961
2012-10-12,13262.000000,13334.000000,13227.000000,13245.000000,13245.000000,104932
2012-10-14,null,null,null,null,null,null
2012-10-15,13255.000000,13369.000000,13208.000000,13359.000000,13359.000000,107657
2012-10-16,13356.000000,13487.000000,13347.000000,13453.000000,13453.000000,114773
2012-10-17,13448.000000,13498.000000,13432.000000,13489.000000,13489.000000,110838
2012-10-18,13485.000000,13530.000000,13451.000000,13487.000000,13487.000000,119365
2012-10-19,13483.000000,13499.000000,13246.000000,13252.000000,13252.000000,162751
2012-10-21,null,null,null,null,null,null
2012-10-22,13251.000000,13308.000000,13174.000000,13292.000000,13292.000000,123349
2012-10-23,13293.000000,13316.000000,13021.000000,13041.000000,13041.000000,179734
2012-10-24,13038.000000,13096.000000,12999.000000,13021.000000,13021.000000,124742
2012-10-25,13026.000000,13119.000000,12974.000000,13056.000000,13056.000000,124932
2012-10-26,13066.000000,13087.000000,12937.000000,13054.000000,13054.000000,128805
2012-10-28,null,null,null,null,null,null
2012-10-31,13077.000000,13124.000000,12987.000000,13030.000000,13030.000000,111943
2012-11-01,12991.000000,13212.000000,12969.000000,13165.000000,13165.000000,121161
2012-11-02,13165.000000,13226.000000,12988.000000,12991.000000,12991.000000,120034
2012-11-04,null,null,null,null,null,null
2012-11-05,12989.000000,13078.000000,12973.000000,13053.000000,13053.000000,83754
