Date,Open,High,Low,Close,Adj Close,Volume
2012-08-24,2762.250000,2785.250000,2750.500000,2775.000000,2775.000000,188828
2012-08-26,null,null,null,null,null,null
2012-08-27,2784.000000,2795.750000,2776.500000,2782.750000,2782.750000,140197
2012-08-28,2783.250000,2790.500000,2771.000000,2780.750000,2780.750000,173035
2012-08-29,2782.000000,2790.500000,2771.250000,2781.250000,2781.250000,134170
2012-08-30,2781.250000,2782.500000,2750.250000,2753.750000,2753.750000,165170
2012-08-31,2755.000000,2785.250000,2745.250000,2771.000000,2771.000000,293090
2012-09-02,null,null,null,null,null,null
2012-09-04,2773.000000,2782.750000,2742.750000,2774.500000,2774.500000,239905
2012-09-05,2775.250000,2780.750000,2757.000000,2767.500000,2767.500000,216605
2012-09-06,2767.500000,2829.500000,2766.500000,2825.500000,2825.500000,270232
2012-09-07,2826.500000,2836.250000,2817.000000,2823.000000,2823.000000,194752
2012-09-09,null,null,null,null,null,null
2012-09-10,2822.250000,2823.750000,2784.500000,2784.500000,2784.500000,188797
2012-09-11,2784.500000,2799.750000,2777.750000,2779.250000,2779.250000,181217
2012-09-12,2781.250000,2800.250000,2775.250000,2796.250000,2796.250000,255194
2012-09-13,2796.000000,2842.000000,2785.250000,2827.500000,2827.500000,389648
2012-09-14,2827.500000,2865.250000,2826.750000,2856.500000,2856.500000,179812
2012-09-16,null,null,null,null,null,null
2012-09-17,2858.000000,2858.500000,2845.750000,2852.000000,2852.000000,111463
2012-09-18,2852.750000,2859.750000,2843.750000,2855.500000,2855.500000,66701
2012-09-19,2858.000000,2872.000000,2849.750000,2859.000000,2859.000000,61131
2012-09-20,2860.250000,2863.750000,2842.750000,2859.500000,2859.500000,44741
2012-09-21,2860.750000,2877.500000,2860.500000,2876.000000,2876.000000,170166
2012-09-23,null,null,null,null,null,null
2012-09-24,2852.000000,2857.250000,2826.250000,2838.250000,2838.250000,204718
2012-09-25,2840.500000,2853.000000,2798.250000,2803.250000,2803.250000,235185
2012-09-26,2804.250000,2807.250000,2762.250000,2774.250000,2774.250000,253321
2012-09-27,2774.750000,2821.250000,2774.750000,2814.500000,2814.500000,219259
2012-09-28,2814.500000,2819.250000,2788.750000,2792.000000,2792.000000,242772
2012-09-30,null,null,null,null,null,null
2012-10-01,2789.000000,2822.500000,2777.750000,2788.250000,2788.250000,261991
2012-10-02,2787.000000,2807.750000,2772.500000,2795.250000,2795.250000,222226
2012-10-03,2795.250000,2817.250000,2788.000000,2808.000000,2808.000000,203387
2012-10-04,2809.000000,2830.000000,2807.750000,2821.500000,2821.500000,194754
2012-10-05,2822.000000,2840.750000,2799.750000,2804.250000,2804.250000,209852
2012-10-07,null,null,null,null,null,null
2012-10-08,2806.250000,2808.000000,2774.500000,2777.500000,2777.500000,191473
2012-10-09,2778.750000,2786.750000,2730.000000,2734.000000,2734.000000,333498
2012-10-10,2735.000000,2743.750000,2717.250000,2722.750000,2722.750000,258892
2012-10-11,2722.500000,2745.500000,2712.000000,2713.250000,2713.250000,248073
2012-10-12,2713.750000,2728.250000,2707.250000,2710.000000,2710.000000,208152
2012-10-14,null,null,null,null,null,null
2012-10-15,2713.000000,2736.250000,2705.000000,2731.250000,2731.250000,217875
2012-10-16,2732.500000,2777.250000,2729.750000,2765.250000,2765.250000,235193
2012-10-17,2765.750000,2778.750000,2753.500000,2770.500000,2770.500000,228333
2012-10-18,2771.000000,2774.000000,2727.500000,2732.750000,2732.750000,332954
2012-10-19,2731.000000,2737.500000,2664.000000,2664.000000,2664.000000,338284
2012-10-21,null,null,null,null,null,null
2012-10-22,2664.500000,2693.000000,2657.500000,2687.750000,2687.750000,278347
2012-10-23,2691.000000,2695.250000,2651.500000,2660.500000,2660.500000,356710
2012-10-24,2660.000000,2680.500000,2646.250000,2650.500000,2650.500000,261593
2012-10-25,2652.500000,2673.500000,2640.250000,2648.000000,2648.000000,252966
2012-10-26,2651.500000,2669.250000,2604.500000,2659.000000,2659.000000,378539
2012-10-28,null,null,null,null,null,null
2012-10-31,2662.250000,2676.750000,2631.750000,2640.500000,2640.500000,326935
2012-11-01,2634.250000,2688.750000,2627.250000,2684.750000,2684.750000,285578
2012-11-02,2686.000000,2694.000000,2641.000000,2641.000000,2641.000000,287864
2012-11-04,null,null,null,null,null,null
2012-11-05,2640.500000,2673.500000,2634.750000,2662.250000,2662.250000,251300
2012-11-06,2661.250000,2691.750000,2653.250000,2675.750000,2675.750000,248029
2012-11-07,2676.750000,2688.000000,2599.000000,2610.000000,2610.000000,401571
2012-11-08,2612.750000,2623.250000,2568.500000,2572.000000,2572.000000,384377
